2023-05-26 22:15:05.267 293:pos-tag                INFO     ********************
2023-05-26 22:15:05.267 294:pos-tag                INFO     Best f1:0.0075
2023-05-26 22:15:05.267 295:pos-tag                INFO     ********************
2023-05-26 22:15:08.358 310:pos-tag                INFO   Saving model checkpoint to ./pos_res_java/random/saved_codet5models/1/layer_9/checkpoint-best-f1/model.bin
2023-05-26 22:15:08.359 315:pos-tag                INFO     ********************
2023-05-26 22:15:08.359 316:pos-tag                INFO     Best MCC:0.0318
2023-05-26 22:15:08.360 317:pos-tag                INFO     ********************
2023-05-26 22:15:11.450 332:pos-tag                INFO   Saving model checkpoint to ./pos_res_java/random/saved_codet5models/1/layer_9/checkpoint-best-mcc/model.bin
2023-05-26 22:15:13.037 351:pos-tag                INFO   ***** Running evaluation *****
2023-05-26 22:15:13.037 352:pos-tag                INFO     Num examples = 293
2023-05-26 22:15:13.037 353:pos-tag                INFO     Batch size = 32
2023-05-26 22:15:19.682 399:pos-tag                INFO   ***** Eval results *****
2023-05-26 22:15:19.683 401:pos-tag                INFO     eval_acc = 0.1432
2023-05-26 22:15:19.683 401:pos-tag                INFO     eval_f1 = 0.0111
2023-05-26 22:15:19.683 401:pos-tag                INFO     eval_mcc = 0.0608
2023-05-26 22:15:19.683 401:pos-tag                INFO     eval_precision = 0.0115
2023-05-26 22:15:19.684 401:pos-tag                INFO     eval_recall = 0.0155
2023-05-26 22:15:19.684 293:pos-tag                INFO     ********************
2023-05-26 22:15:19.684 294:pos-tag                INFO     Best f1:0.0111
2023-05-26 22:15:19.684 295:pos-tag                INFO     ********************
2023-05-26 22:15:22.727 310:pos-tag                INFO   Saving model checkpoint to ./pos_res_java/random/saved_codet5models/1/layer_9/checkpoint-best-f1/model.bin
2023-05-26 22:15:22.731 315:pos-tag                INFO     ********************
2023-05-26 22:15:22.731 316:pos-tag                INFO     Best MCC:0.0608
2023-05-26 22:15:22.731 317:pos-tag                INFO     ********************
2023-05-26 22:15:25.759 332:pos-tag                INFO   Saving model checkpoint to ./pos_res_java/random/saved_codet5models/1/layer_9/checkpoint-best-mcc/model.bin
2023-05-26 22:15:27.364 351:pos-tag                INFO   ***** Running evaluation *****
2023-05-26 22:15:27.364 352:pos-tag                INFO     Num examples = 293
2023-05-26 22:15:27.365 353:pos-tag                INFO     Batch size = 32
2023-05-26 22:15:34.013 399:pos-tag                INFO   ***** Eval results *****
2023-05-26 22:15:34.014 401:pos-tag                INFO     eval_acc = 0.1802
2023-05-26 22:15:34.014 401:pos-tag                INFO     eval_f1 = 0.0119
2023-05-26 22:15:34.014 401:pos-tag                INFO     eval_mcc = 0.0963
2023-05-26 22:15:34.014 401:pos-tag                INFO     eval_precision = 0.0228
2023-05-26 22:15:34.014 401:pos-tag                INFO     eval_recall = 0.019
2023-05-26 22:15:34.014 293:pos-tag                INFO     ********************
2023-05-26 22:15:34.014 294:pos-tag                INFO     Best f1:0.0119
2023-05-26 22:15:34.014 295:pos-tag                INFO     ********************
