2023-05-23 21:56:58.252 399:pos-tag                INFO   ***** Eval results *****
2023-05-23 21:56:58.253 401:pos-tag                INFO     eval_acc = 0.0294
2023-05-23 21:56:58.253 401:pos-tag                INFO     eval_f1 = 0.0035
2023-05-23 21:56:58.253 401:pos-tag                INFO     eval_mcc = 0.0216
2023-05-23 21:56:58.253 401:pos-tag                INFO     eval_precision = 0.0078
2023-05-23 21:56:58.253 401:pos-tag                INFO     eval_recall = 0.0026
2023-05-23 21:56:58.253 293:pos-tag                INFO     ********************
2023-05-23 21:56:58.253 294:pos-tag                INFO     Best f1:0.0035
2023-05-23 21:56:58.253 295:pos-tag                INFO     ********************
2023-05-23 21:56:59.227 310:pos-tag                INFO   Saving model checkpoint to ./pos_res_poj/plm/saved_unixcodermodels/4/layer_0/checkpoint-best-f1/model.bin
2023-05-23 21:56:59.227 315:pos-tag                INFO     ********************
2023-05-23 21:56:59.228 316:pos-tag                INFO     Best MCC:0.0216
2023-05-23 21:56:59.228 317:pos-tag                INFO     ********************
2023-05-23 21:57:00.209 332:pos-tag                INFO   Saving model checkpoint to ./pos_res_poj/plm/saved_unixcodermodels/4/layer_0/checkpoint-best-mcc/model.bin
2023-05-23 21:57:01.011 351:pos-tag                INFO   ***** Running evaluation *****
2023-05-23 21:57:01.011 352:pos-tag                INFO     Num examples = 400
2023-05-23 21:57:01.012 353:pos-tag                INFO     Batch size = 32
2023-05-23 21:57:05.756 399:pos-tag                INFO   ***** Eval results *****
2023-05-23 21:57:05.756 401:pos-tag                INFO     eval_acc = 0.0383
2023-05-23 21:57:05.756 401:pos-tag                INFO     eval_f1 = 0.0045
2023-05-23 21:57:05.756 401:pos-tag                INFO     eval_mcc = 0.028
2023-05-23 21:57:05.756 401:pos-tag                INFO     eval_precision = 0.0091
2023-05-23 21:57:05.756 401:pos-tag                INFO     eval_recall = 0.0037
2023-05-23 21:57:05.756 293:pos-tag                INFO     ********************
2023-05-23 21:57:05.756 294:pos-tag                INFO     Best f1:0.0045
2023-05-23 21:57:05.756 295:pos-tag                INFO     ********************
2023-05-23 21:57:06.740 310:pos-tag                INFO   Saving model checkpoint to ./pos_res_poj/plm/saved_unixcodermodels/4/layer_0/checkpoint-best-f1/model.bin
2023-05-23 21:57:06.740 315:pos-tag                INFO     ********************
2023-05-23 21:57:06.740 316:pos-tag                INFO     Best MCC:0.028
2023-05-23 21:57:06.740 317:pos-tag                INFO     ********************
2023-05-23 21:57:07.668 332:pos-tag                INFO   Saving model checkpoint to ./pos_res_poj/plm/saved_unixcodermodels/4/layer_0/checkpoint-best-mcc/model.bin
2023-05-23 21:57:08.474 351:pos-tag                INFO   ***** Running evaluation *****
2023-05-23 21:57:08.475 352:pos-tag                INFO     Num examples = 400
2023-05-23 21:57:08.475 353:pos-tag                INFO     Batch size = 32
2023-05-23 21:57:13.224 399:pos-tag                INFO   ***** Eval results *****
2023-05-23 21:57:13.225 401:pos-tag                INFO     eval_acc = 0.0528
2023-05-23 21:57:13.225 401:pos-tag                INFO     eval_f1 = 0.0061
2023-05-23 21:57:13.225 401:pos-tag                INFO     eval_mcc = 0.0392
2023-05-23 21:57:13.225 401:pos-tag                INFO     eval_precision = 0.0105
2023-05-23 21:57:13.225 401:pos-tag                INFO     eval_recall = 0.0054
2023-05-23 21:57:13.225 293:pos-tag                INFO     ********************
2023-05-23 21:57:13.225 294:pos-tag                INFO     Best f1:0.0061
2023-05-23 21:57:13.225 295:pos-tag                INFO     ********************
2023-05-23 21:57:14.206 310:pos-tag                INFO   Saving model checkpoint to ./pos_res_poj/plm/saved_unixcodermodels/4/layer_0/checkpoint-best-f1/model.bin
2023-05-23 21:57:14.207 315:pos-tag                INFO     ********************
2023-05-23 21:57:14.207 316:pos-tag                INFO     Best MCC:0.0392
2023-05-23 21:57:14.207 317:pos-tag                INFO     ********************
