2022-08-28 04:30:44.588 401:pos-tag                INFO     eval_acc = 0.0606
2022-08-28 04:30:44.588 401:pos-tag                INFO     eval_f1 = 0.0077
2022-08-28 04:30:44.588 401:pos-tag                INFO     eval_mcc = 0.0244
2022-08-28 04:30:44.588 401:pos-tag                INFO     eval_precision = 0.0106
2022-08-28 04:30:44.588 401:pos-tag                INFO     eval_recall = 0.0147
2022-08-28 04:30:44.588 293:pos-tag                INFO     ********************
2022-08-28 04:30:44.588 294:pos-tag                INFO     Best f1:0.0077
2022-08-28 04:30:44.588 295:pos-tag                INFO     ********************
2022-08-28 04:30:47.036 310:pos-tag                INFO   Saving model checkpoint to ./pos_res_java/random/saved_codebertmodels/2/layer_12/checkpoint-best-f1/model.bin
2022-08-28 04:30:47.036 315:pos-tag                INFO     ********************
2022-08-28 04:30:47.037 316:pos-tag                INFO     Best MCC:0.0244
2022-08-28 04:30:47.037 317:pos-tag                INFO     ********************
2022-08-28 04:30:48.542 332:pos-tag                INFO   Saving model checkpoint to ./pos_res_java/random/saved_codebertmodels/2/layer_12/checkpoint-best-mcc/model.bin
2022-08-28 04:30:49.368 351:pos-tag                INFO   ***** Running evaluation *****
2022-08-28 04:30:49.368 352:pos-tag                INFO     Num examples = 293
2022-08-28 04:30:49.368 353:pos-tag                INFO     Batch size = 32
2022-08-28 04:30:52.746 399:pos-tag                INFO   ***** Eval results *****
2022-08-28 04:30:52.746 401:pos-tag                INFO     eval_acc = 0.0743
2022-08-28 04:30:52.747 401:pos-tag                INFO     eval_f1 = 0.0096
2022-08-28 04:30:52.747 401:pos-tag                INFO     eval_mcc = 0.0345
2022-08-28 04:30:52.747 401:pos-tag                INFO     eval_precision = 0.0143
2022-08-28 04:30:52.747 401:pos-tag                INFO     eval_recall = 0.0169
2022-08-28 04:30:52.747 293:pos-tag                INFO     ********************
2022-08-28 04:30:52.747 294:pos-tag                INFO     Best f1:0.0096
2022-08-28 04:30:52.747 295:pos-tag                INFO     ********************
2022-08-28 04:30:56.430 310:pos-tag                INFO   Saving model checkpoint to ./pos_res_java/random/saved_codebertmodels/2/layer_12/checkpoint-best-f1/model.bin
2022-08-28 04:30:56.430 315:pos-tag                INFO     ********************
2022-08-28 04:30:56.430 316:pos-tag                INFO     Best MCC:0.0345
2022-08-28 04:30:56.431 317:pos-tag                INFO     ********************
2022-08-28 04:30:58.700 332:pos-tag                INFO   Saving model checkpoint to ./pos_res_java/random/saved_codebertmodels/2/layer_12/checkpoint-best-mcc/model.bin
2022-08-28 04:30:59.526 351:pos-tag                INFO   ***** Running evaluation *****
2022-08-28 04:30:59.526 352:pos-tag                INFO     Num examples = 293
2022-08-28 04:30:59.526 353:pos-tag                INFO     Batch size = 32
2022-08-28 04:31:02.902 399:pos-tag                INFO   ***** Eval results *****
2022-08-28 04:31:02.903 401:pos-tag                INFO     eval_acc = 0.0997
2022-08-28 04:31:02.903 401:pos-tag                INFO     eval_f1 = 0.013
2022-08-28 04:31:02.903 401:pos-tag                INFO     eval_mcc = 0.0558
